,0
87,terus kenapa ya dulu jokowi janji mau buyback indosat ya klo jokowi yg janji boleh diingkari klo sandi yg janji serasa dibohongi
88,ya itu karena ternyata hitungan nya rugi makanya ga jd di ambil bnyk baca berita yah
89,ya kondisinya sudah beda mas makanya banyak baca biar pinteran dikit jangan asal koment tapi malah malu maluin wekekekekekekekekekekekekekekekek
90,harusnya kamu yang jadi wakil pak jokowi om sandiiiiii
91,suruh telkom yg beli
92,indosat jaringan nya payah masuk gedung sinyal ilang di dalem rumah sinyal idup mati apa yg di banggain beli barang bekas gak berguna
93,hp gw iphone x bts indosat ada di sebelah rumah gw baru jalan 7 mtr dari bts sinyal 3g aja udah ngap ngapan apalagi 4g
94,bego perusahaan rugi kayak gitu kok di beli mendingan beli satelit baru bikin perusahaan baru emang kalau gak ada indosat gak bisa telp
95,ngerti ga sih saham yg di bursa itu ga sama dengan saham di perusahaan xd
96,ngapain beli perushaan rugi
97,indosat lagi rugi kok malah di beli
98,apain beli perusahaan rugi kemarin jokowi prioritas untuk rakyat dulu daripada gengsi
99,goblok barang rongsokan usang di kejar
100,perusahaan rugi dibeli oooonnn koq dipiara ya demi kemenangan jabatan doang yang kaga ngerti mah ngerasanya bener yg ngerti mah tau ini cuman sandiwara alias sinetron buat bikin pendukungnya terbuai akhirnya asset negara kembali asset negara yg rugi guoblokk bukan macam freeport yang untung
101,indosat lagi rugi makannya di jual lagi ke investor qatar kemaren kan mayoritas dipegang siangapore dan ditawarkan ke indonesia tapi pak jokowi gak mau karena indosat lagi rugi 1triliun lebih
102,dari pada buy back mending foll back
103,setuju kalau janji beli indosat gak usah di tunaikan kenapa karena dulu waktu debat kaitannya dengan satelit dan slot orbit dikuasai indosat jadi masih masuk akal beli indosat buat satelit tapi slot satelit indosat palapa c2 sudah diambil alih oleh brisat milik bank bri dimana pemerintah indonesia dikasih jatah beberapa transponder slot orbit geostasioner satelit itu terbatas jumlahnya apalagi yg diatas atas masih dekat dengan negara itu nilai strategisnya yg penting bagi pemerintah manapun jadi ngapain beli indosat
104,aja ladeni bang janji adalah janji hrs ditepati rebut kembali bang miliki kita yg dulu dijual sama moncong putih
105,kolor bekas pake bapak lo di buy back aja mau ga
106,kalo yang ngomong tukang mebel gue gak yakin
107,kalo 9t kayanya kecil membeli dgn apbn tp kenapa dari kemarin2 ngga di buy back apakah saham isat lagi tidak menguntungkan atau ada alasan lain kenapa indonesia kemarin malah ngeluncurin satelit sendiri bukanya beli saham ini
108,beli kembali aja tanah yang di miliki wowo
109,mending beli lagi saham saritoga hahaha
110,ada telkomsel ngapain beli indosat yg merugi setiap tahun waduhh
111,akibat jual2 aset negara
112,hahahhaa isu buyback indosat diangkat2 lg pembodohan ini nama nya ngapain beli2 perusahaan yg jelas2 malah ngerugiin keuangan negara
113,kebanyakan makan tempe setipis atm sih piara tuh sapi bisa gemuk bego dipiara
114,biar tekor asal kesohor ud gt aja
115,ngapain juga beli isat satelit ud puluhan tahun mending ganti satelit baru masa iya mo beli satelit usang diiih bego ga ketulungan
116,apa untungnya beli indosat cuma dompleng beken doang woles
117,majukan telkomsel tingkatkan jaringn satelit lebih bermanfaat banyak buat rakyat
118,mundur kotanya gila warganya
119,perusahaan rugi terus kok mau dibeli payah lu
120,beli indosat lagi buat apa orang yang pakai indosat aja jarang banyakan telkomsel dan xl
121,gk pnting san kini kita sdh pnya palapa ring yg jauh lbih canggih bri punya satelit sndri itu tdk pnting
122,indosat udah rugi mulu ngapain dibeli lagi klo murah sih gpp 1 t mending buat besarin telkom telkomsel
123,sebenarnya tujuan buyback indosat itu untungnya apa cuman karena ada nama indo di depannya dendam karena dulu yang jual bu mega ditagih terus karena yang janji pak jokowi atau karena apa perusahaan rugi terus malah diuber uber buyback giliran anker bir perusahaan sehat malah diuber uber minta dijual biasakan berpikir logis
124,mending beli satelite bos bego di piara kambing di piara bisa gemuk
125,lagak loe kayak lebih kaya dari sendi aja loe pikir dia sebodoh itu mau beli indosat loe aja oon kena tepu
126,meminjam bahasa anies beli indosat dimana unsur pembangunannya malah bikin investasi rugi sih udah benar cara jokowi siapin satelit buat telkom desak indosat ke titik paling rendah tar indosat bubar bangkrut atau jual sahamnya diobral dengan harga yang jauh lebih murah ajaib kan koalisinya saham yang menguntungkan mau dilepas saham yang rugi malah mau dibeli kebalikannya orang normal yang cari saham berprospek menguntungkan
127,goblok lo itu yg beli perusahan asing singaparna wkwkwk ini masalah wibawa citra indonesia
128,beginilah tipe org yg sdg cr pencitraan tdk berfikir pjg bs nya ngebodohin dan membohongi rakyat sj
129,namanya juga kampret otaknya kebalik jadi cara berfikinya juga terbalik
130,orang butuh makanan emang citra bisa dimakan
131,bukalah datanya baru mengerti lah anda barang mana yg patut dibeli atau tidak yg ini tidak
132,beli aja pake uang mami nak
133,kalau 9 9t saja gak sanggup apalagi mimpin indonesia yg punya tanggungan ribuan t forget it dah
134,hanya 9 9 triliun kecil bagi indonesia tinggal ngurangin budget infrastruktur yg di atas 4 triliun ga kerasa tu mah kl sandi terpilih mudah utk tepati janji beli indosat sy pikir 9 triliun ternyata hanya 9triliunan sj
135,krn jokowi tahu beli indosat sama aja beli rongsokan bro dia mmg janji tapi gak mau lakukan secara buta merugikan rakyat ente lulus sd gak
136,dasar sampah klo ri beli satelit sendiri biaya ya lebih murah lagian indosat lagi rugi triliunan makanya di jual ke investor qatar
137,pikiran tuo lol infrastrukur lebih penting buy back isat cuma buat gengsi politik emang orang nyebrang sungai bisa pake handphone tuo lol
138,baca yg jelas lagi ya
139,tapi rugi indosat dulu dan sekarang beda sekarang not worthed
140,capek deh ini orang cuma mau bego2in rakyat aja
141,apakah dengan membeli kembali indosat rakyat miskin bisa kenyang apakah dengan mengambil kembali indosat rakyat miskin bisa punya penghasilan lebih apakah dengan membeli indosat rakyat miskin bisa jd kaya mendadak dan apa dengan membeli indosat nih negara bisa jadi super power pikir itu pakai otak dah ga usah ngeyel melulu minta beli ini minta beli itu yg terakhir hanya sebagai pembuangan dana yg ga berguna
142,indosat saat ini tidak sehat kenapa harus buy back
143,buat apa sih buyback perusahaan yg merugi terus
144,beli sahamnya dulu dong ah
145,keknya ada yg janji buy back indosat deh
146,perusahaan yang sudah rugi gw aja malas pake indosat
147,daripada beli indosat bikin aja operator baru untuk bersaing dengan indosat lumayan bisa buka lapangan kerja baru
148,bismillah prabowo sandi presiden rakyat indonesia
149,apa aspek strategis dan bisnisnya kalo mau buyback momentnya dah lewat cek dulu performance perusahaannya saat ini jgn hanya move politik aja
150,kinerja nya bagaimana kalau merugi ngapain juga dibeli
151,berarti kl dibeli sesama bumn telkom sama indosat maen sikut2an dong wong maennya dibisnis yg sama
152,seorang investor yang cerdas tahu saat untuk menjual dan saat untuk membeli saham hanya orang yang punya nafsu pencitraan dan sandiwara yang mengabaikan untung ruginya buy back indosat
153,kalo mau jujur coba suruh perusahaan investasi saratoga yg suka akuisisi perusahaan2 suruh saratoga kaji apakah indosat menguntungkan utk dibeli atau cuma utk mengompori rakyat lugu yg ga tau kondisi keuangan indosat
154,hahahahaa kalo cuma ngitung doang sih bisa pak duitnya pake daon ya
155,saya kira belum saatnya mngkn tunggu 2 periode klo jadi
156,ngapaen beli saham rugi sandi ada saham publik nya yah biar bisa goreng hahahaha
157,ngapain beli perusahaan yg mau ambruk dasar dungu
158,loh kok pake duit ane pikir indosat bakal dituker ama okehngoceh ke investor qatar asumsi investor qatar ud dibikin mabok ciu
159,pola pikir bodoh katanya bisnisman ternyata masih juga tolol pengen beli perusahaan yg merugi jokowi menunda beli karena lebih profit inves di infrastruktur beli freeport yg jelas untung dinyinyirin tapi otakmu yg kurang cerdas itu malah ngotot mau beli perusahaan merugi mahluk yg aneh dan jahat
160,apa untungnya ngurusin indosat mending buat yg lain heran gue
161,hmm 1 kardus lah kira2 ndi
162,indosat aja makin tenggelem kok mau dibeli
163,setuju dengan sandi buat indonesia memegang kendali atas telekomunikasi d negara sendiri
164,udah ada telkom bos
165,yang jual indosat siapa ya
166,klo rugi knp kmrn ada yg janji mau buyback yaa super duper aneh makanya yuk berpikircerdas
167,pada masa itu masih ok masa skrg makin sedikit yang pakai indosat kita musti lihat kondisi terbaru sebelom beli
168,makanya kita perlu pemimpin yg visioner berpikir jauh k depan bukan hanya cuap2 d dpn tp ga tahu k dpn spt apa bangun infrastruktur pakai hutang tp merugi untungnya 2 thn lg tentu bayar hutangnya pakai hutang lg andai bisa pemimpin berpikircerdas
169,semoga target sandiaga uno untuk buyback indosat dikabulkan dan kembali ke tanah air
170,bodo banget perusahaan rugi dibeli udah bagus dulu dilepas
171,indosat itu sudah dalam posisi merugi buat apa dibeli balik buang buang duit sekarang sudah punya satelit nusantara 1
172,betul bro biarkal indosat berlalu
173,indosat itu vendor sama dg telkomsel piye to bro kl dia punya satelit sendiri itu kan hanya utk dukung bisnis utamanya sj ga ada hubungan satelit nusantara 1
174,ngapain ngotot indosat besarin aja telkom kan lama2 mati tuh indosat
175,setuju ngapain beli barang mahal
176,lha kirain udah di beli sama pak joko ternyata belum
177,pak joko mana punya duit 1 t kalo jv saratoga bosowa pasti punya lah duit segitu
178,pas jokowi nyapres belum bisa lihat data real nya udah jadi presiden dan pegang data di kaji ulang dan bukan sesuatu yang musti di ambil tindakan secepatnya pak jokowi belum ada niatan buyback itu indosat sekarang pak sandi mau melakukan itu beliau cawapres lho belum pegang data real nya belum bisa itung itungan untung rugi nya
179,posisi klo dibeli merugikan lbh baik kembangkan yg lain dg satelit palapa yg baru ntar dibeli jg dibully beli perusahaan merugi
180,kalo belum bisa menguntungkan kenapa dibeli lagi toh investasi di bidang lain yg bisa menguntungkan negara masih banyak
181,justru indosat itu menguntungkan bodoh seperti telkomsel ruginya dimana coba yg ada untung dan untung krn skg era digital dan informasi
182,indosat rugi mulu ngapain di buy back
183,kinerja indosat sedang b brok mau dibeli lunasi hutangmu dulu asen presiden jokowi sudah meluncurkan satelit bri beberapa bulan yang lalu
184,what apa nilai tambahnya bagi indonesia tingkatkan saja qualitas dan coverage dari telkomsel lebih bagus dana sebanyak itu digunakan untuk hal lain yang lebih bermanfaat kualitas infrastruktur pendidikan dan kesehatan misalnya
185,9 9 trilyun itu harga minimal bos bisa naik 2 bahkan berkali kali lipat klo akusisi bgitu bisa ratusan trilyun klo akusisi jadinya mau pembohongan publik lagi mending kembangkan telkomsel
186,buat apa beli indosat msh dibawah telkom mending untuk alokasi infrastruktur lainnya cawapres ga jelas lu san
187,iya pak drpda buat bangun tol ditengah hutan
188,komentar tertolol
189,ente aja yg beli coba ksh contoh beli sesuatu yg merugi kemudian jd untung
190,sekarang ini indosat perusahaan yang sedang mengalami kerugian untuk apa dibeli
191,jika bersatu mengumpulkan dana apakah kita bisa mengembalikan indosat ke indonesia
192,hal yg ga perlu mending beli saham tsel dari singtel
193,naiknya fortuner hitam didalam mobil ada 4 orang 1 orang nyeletuk berapa bayar tol 66 ribu wik mahal amat ya bukalah hp lalu curcol deh ke ondel2 tol mahal direzim ini nah begitu kiranya keadaan sesungguhnya
194,nih orang kerjanya selalu nyinyir pemerintah trus apa kerjanya di dpr
195,sudah terbukti adanya tol menurunkan jumlah kecelakaan kalo bisa lebih cepat sampai setengah waktu perjalanan non tol mending bayar lebih mahal gpp kale bisa lebih cepat ketemu keluarga
196,katanya tol nya mahal tapi kok pak polisi sampe mengatur strategi oneway untuk perjalanan brgkt pulang mudik brati peminatnya banyak dong lantas masyarakat mana yg teriak tol nya mahal self reminder
197,adanya ribuan km jalan tol baru sangat membantu pengguna jalan lama antar propinsi yang kini menjadi lebih longgar lebih nyaman dan tetap gratis
198,zonk kosong nyaring bunyinya
199,akal2an zonk ja gak da yg curhat wong gemblung tea
200,yang curhat siapa dulu nih om
201,naek motor aja klo toll dirasa mahal jkt sby paling habis 35 rb pp berdua cuma 175rb istirahat di spbu atau barak tni polisi gratis
202,penerapan tol di jalan raya bebas hambatan bagi saya merupakan skema pembiayaan infrastruktur yang adil prinsipnya hanya pengguna yang membiayai pembangunannya mereka yang mau pakai berarti setuju ikut membiayai pembangunannya sebaliknya mereka yang tidak mau pakai jalan tol janganlah merasa ikut membiayai pembangunannya
203,dalam kondisi lebaran lewat jalan non tol jauh lebih lama capek bbm lebih boros sering mampir indomart numpang pipis gratis tapi semua turun ambil es krim mahal mana zonk
204,bapak fz saya mau curhat tol mahal nih masa tol ratusan ribu saya aja beli mobil ratusan juta masa mahalan tol dari mobil nya ups keceplosan oya satu lagi bapak fz masa saya lewat tol bayar tol plus bensinnya lebih murah dari pada lewat jalan non tol yg ngga bayar tol ngga adil kan
205,tol itu mahal menurut siapa paling tidak kita diberi pilihan mau lewat tol bayar dan didiskon 15 dengan adanya tol yg pada punya uang bisa milih lewat tol sehingga pantura tidak mecet becak motor bisa leluasa lewat arus lalu lintas tdk padat ada gak kalo gitu tol manfaatnya bagi yg tidak gunakan tol kecelakaan menurun jalan rusak jd berkurang arus tdk padat zonk mikirnya sampai kesini gak kalo kena macet bisa 12 jam kalo gak kena macet via tol 5 jam konsumsi bbm nya sama gak zonk kalo 5 jam makan sekali kalo 12 jam bisa makan 2x biaya makan utk perjalanan sama gak zonk bbelum kalo harus nginap dihotel sekeluarga dan banyak lagilah kalo dijabarin
206,lha wong otaknya zonktor itu bukan otak manusia pada umumnya tp otak udang jd jangan harap maklum
207,dulu sblm ada toll trans jawa setiap ke sby bawa mobil pasti hrs nginap 1 malam di jalan karna letih nya lwt jln arteri biaya nginap di hotel utk 1 keluarga 4org skitar 35 4 rb hotel kelas melati dg bayar toll skitar 65 rb an jkt sby tanpa hrs nginap di jalan maka sy pikir biaya toll tmsk murah blm lg tambahan biaya2 lainnya di jalan pasti bertambah akibat nginap 1 malam
208,seperti biasa cari kesalahan orang macam banyak yang suka sama doi
209,keluarga nya apa gk malu ya di hina rakyat seperti ini
210,saya udah biasa di hina memang saya hina kok kata mr fz jadi kalian itu salah kalo menghina orang yang sudah hina nambah dosa mending doakan dia segera bertobat dan kembsli ke jalan yg benar
211,buntelan bagong bikin ribut aja
212,
213,terimakasih pak jokowi surabaya solo cm 2 jam sangat berguna toll nya hemat waktu 4 jam di jalan
214,wakakakakak mahal dari mana dodooolll itu sih murah itung lah perkilo meter sekolah bayar pake daun ente wan wkwkwkwkwkwk
215,seperti biasa bicara tanpa data
216,ini dewan lulusan mana iy ampun bisanya cuma nyinyir tau gak zonk brp biaya perkilometer jkt sby gak lebih dari rp 85 jkt sby lebih kurang 781 9 kilometer mahal dr mn jgn cuma bisa provokasi dengan data biaya tol jkt sby rp 66 5 terang aja kesannya mahal karena biasanya bayar tol dlm kota jkt cm rp 9 5 tol jor gak lebih dari rp 3 jd tolg jgn provokasi kritik pemerintah gak ada salahnya tp hrs yg cerdas
217,setelah 2 tahun lamanya sejak jaman gubernur belanda deandles baru terlaksana pembangunan tol trans jawa oleh jokowi sejarah dunia mencatatnya soal mahal murahnya tarif tol relatif yang penting tol itu telah ada real bukan wacana rencana di meja rapat
218,zon tolong sampaikan terimakasih kepada presiden jokowi berkat ada toll saya mudik dari bdg lancar karena pada pindah ke toll yg biasa lewat selatan
219,ya kalau boleh ikut nimbrung ada baiknya para wakil saya ini mulailah mengurangi tunjanganya kalo gaji ambil saja deh memang hak dia sebagai wakil rakyat kan sebagai bentuk solidaritas wakil rakyat kepada atasanya baca rakyat sebagai wakil rakyat ada baiknya kita sebagai atasanya baca rakyat boleh dong menilai kinerja mereka dari situ baru kita bisa tentukan appraisal yang layak dan cocok bagi para wakil rakyat kita ini selama 5 tahun kemarin angka kehadiran anggota dewan wakil rakyat ini sudah berapa persen ya lalu fungsi legislasi mereka sudah berapa persen terselesaikan ini nanya lho saya lha saya gak terinfo mengenai kinerja wakil saya lho tapi benerkan ya posisi wakil kan selalu di bawah setelah pemimpinya ya atau sudah dibalik
220,trusss lo mau apa zonk buat puisi dasar kepompong lo zonk
221,anda merasa tarif toll mahal jangan lewat toll donk jalan biasa juga ada tapi beradu macet lebih lambat dan banyak hambatan kalo mau lebih cepat dan nyaman bayar lebih gak ada yg maksa harus lewat tol kok mbak anda merasa tiket pesawat mahal bisa pilih naik kereta bus kapal atau mobil lebih murah lebih lama dan kurang nyaman dimana2 didunia ini kalo mau lebih cepat lebih nyaman ya harus siap bayar lebih jangan minta subsidi kalo mau yg murah disubsidi ya ikutan bermacet2 ria simple khan
222,pengin murah lagi bilangin om suruh ngesot saja
223,alumni demo bawaslu akan mengadakan demo akbar jilid 2 untuk menurunkan tarif tol mahal
224,yg complaint mahal gak usah pakai tol gitu aja kok repot pasti kerjaan pendukung 2 ini
225,akui saja memang skrg serba mahal bayar listrik mahal pesawat mahal tol mahal jgn buta mata buta hati bro kritik kan boleh yg gak boleh itu hoak misalnya harga listrik turun tiket pesawat turun tenaga kerja dr cina turun drastis ekonomi meroket dolar 1 rb gak impor saat panen itu contoh2 hoak lho ya
226,mahal kl utk ukuran kantong ente
227,mahal itu relatif bandingkan dgn kondisi sekitarnya dgn negara lain kenaikan harga bandingkan dengan kenaikan pendapatan faktanya secara statistik pertumbuhan tingkat pendapatan lebih tinggi dari tingkat inflasi jadi netnya positif jangan karena dengki membutakan mata hati
228,hebat anda bisa menilai org dari kalimatnya bgmn klo ada pengamat ekonomi bilang tarif listrik naik dan mahal apakah mrk miskin coba komen yg cerdas sdikit agar komennya berbobot komen anda mencerminkan klo anda kurang ide dlm membalas komen saya dan bisa saya bilang anda bodoh
229,harga tiket pesawat turun gaji pilot sama crew harus naik avtur ikutin harga internasional harga tol dan listrik gak boleh naik tapi gaji pegawai harus naik umr harus naik tiap tahun gak naikkin gaji umr pekerja pada kabur kerja di ln dibilang gak nasionalis dollar turun pengusaha gak mau expor karena rugi devisa melorot kalian ngomel lagi susah berargumen sama tk kritik coba kasih solusi yg mau nombokin siapa mbak tolong dijawab tidak ada 1pun keputusan bisa menyenangkan semua pihak tapi saat ini pembangunan keliatan dimana2 jadi pliss jgn cuman bisa kritik kalo jago coba kasih saran harus bagaimana kali cuman kritik mah anak sd juga bisa
230,salah 1 tugas pemerintah itu mensejahterakan rakyatnya klo buat kenaikan gaji pgawai tiap taun umumnya pake rumus inflasi prtumbuhan ekonomi sedangkan kenaikan harga pesawat hampir 2x nya contoh jkt bpn akhir 2 18 paling murah 7 rb tiba2 awal th 2 19 naik jadi 1 2jt tarif listrik jg sama naiknya bertahap tapi bertahapnya stiap bulan bukan pertaun yg ngikutin kenaikan gaji karyawan skrg bayar listrik 2x dari sblmnya inilah yg menyebabkan daya beli masyarakt menurun sedangkan pergerakn ekonomi dari daya beli rumah tangga cukup significan berpengaruh pd prtumbuhan ekonomi bgitu gan jgn asal komen tapi anda kurang wawasan dan boleh saya bilang anda masih bodoh
