,Kalimat,Label
67,nyungsep setuju komen bong,1
68,kampret penyembah sih sandiwara gemblung dungu bin bahluuull,3
69,deh bo ong biar terpilih,1
70,sandi kayak jokowi' beli isat perush ngap an core bisnis nya bagus orang sms sekrg pakai wa telepon pakai wa nasib operator selular diujung tanduk buy back,1
71,ha' hebat nya indosat sih beli untung nya ôøω mending satelit biaya internet murah politik cari muka ôøω,1
72,sandi üòä üòä üòä,1
73, duit hutang sandiwara gemblung,1
74,jagonya hutang ya junjunganmu bong,1
75,perusahaan meninjeksi mikroba sungai warnanya hitam jakarta perusahaannya asisten ',1
76,orang lebih baik main lenong deh kerjanya sandiwara melulu,1
77,indosat semenguntungkan ngapain memaksakan tepati janji menguntungkan mending bikin satelit,1
78,untung buyback junjunganmu bong pertumbuhan ekonomi tercapai mengoceh mending bikin satelit cebong prinsipnya labil omongannya pegang kayak periode no way haha,1
79,janji bangun stadion sekelas old traford dipenuhi dipercaya,1
80,nonton berita mkanyo bong groundbreaking di kolam kakak,1
81,sandi tau sanggup sanggup valuenya negara kali strategis dibeli ôøω,1
82,triliun beli perusahaan rugi head to head telkom bos ôøω,1
83,perusahaan rugi beli dasar bego,3
84,satelit indosat canggih dibeli sahamnya,1
85,tujuannya perusahaan rugi investasi dibidang telkomsel diperbesar milik,1
86,aktif satelit indosat,1
87,indosat rugi beli,1
88,ya jokowi janji buyback indosat ya jokowi janji diingkari sandi janji serasa dibohongi,1
89,ya hitungan nya rugi ambil baca berita ya,1
90,ya kondisinya beda mas baca biar lebih pintar komen malu memalukan wekekekekekekekekekekekekekekekek,1
91,wakil jokowi om sandiiiiii,1
92,suruh telkom beli,1
93,indosat jaringan nya payah masuk gedung sinyal hilang rumah sinyal hidup mati banggakan beli barang bekas berguna ôøω,1
94,handphone gue iphone' ' indosat ada sebelah rumah gue jalan motor' sinyal ngap ngapan,1
95,bego perusahaan rugi kayak beli lebih baik beli satelit bikin perusahaan ada indosat telepon,3
96,mengerti sih saham bursa saham perusahaan nan,1
97,beli perushaan rugi,1
98,indosat rugi beli,1
99,apakan beli perusahaan rugi kemarin jokowi prioritas rakyat gengsi,1
100,goblok barang rongsokan usang kejar ôøω,3
101,perusahaan rugi dibeli oooonnn dipelihara ya kemenangan jabatan doang mengerti ngerasanya mengerti tau sandiwara alias sinetron bikin pendukungnya terbuai aset negara aset negara rugi guoblokk freeport untung,3
102,indosat rugi makannya jual investor qatar kemarin mayoritas dipegang siangapore ditawarkan indonesia jokowi indosat rugi triliun,1
103,buy back ôøω mending foll back üòå,1
104,setuju janji beli indosat tunaikan debat kaitannya satelit slot orbit dikuasai indosat masuk akal beli indosat satelit slot satelit indosat palapa' diambil alih brisat milik bank bank rakyat indonesia dimana pemerintah indonesia dikasih jatah transponder slot orbit geostasioner satelit terbatas di atas negara nilai strategisnya pemerintah manapun beli indosat,1
105,ladeni bang janji janji ditepati rebut bang miliki dijual moncong putih,1
106,kolor bekas pakai buy back,1
107,berbicara tukang mebel gue,1
108, membeli anggaran pendapatan dan belanja negara kemarin buy back saham isat menguntungkan ada alasan indonesia kemarin ngeluncurin satelit bukanya beli saham,1
109,beli tanah miliki prabowo ôøω,1
110,mending beli saham saritoga haha,1
111,ada telkomsel beli indosat merugi ôøω,1
112,akibat jual aset negara,1
113,hahahhaa isu buyback indosat diangkat pembodohan nama nya beli perusahaan merugikan keuangan negara,1
114,kebanyakan makan tempe setipis atm sih piara sapi gemuk bego dipelihara,3
115,biar tekor kesohor,1
116,beli isat satelit puluhan mending ganti satelit iya beli satelit usang diiih bego ketulungan,3
117,untungnya beli indosat dompleng beken doang santai,1
118,majukan telkomsel tingkatkan jaringn satelit bermanfaat rakyat,1
119,mundur kotanya gila warganya,2
120,perusahaan rugi dibeli payah,1
121,beli indosat orang pakai indosat jarang banyakan telkomsel xl,1
122,san palapa ring canggih bank rakyat indonesia satelit,1
123,indosat rugi mulu dibeli murah sih tidak apa apa' mending besarkan telkom telkomsel,1
124,tujuan buyback indosat untungnya ada nama indonesia depannya dendam jual bu mega ditagih janji jokowi perusahaan rugi diuber uber buyback giliran anker bir perusahaan sehat diuber uber dijual biasakan berpikir logis,1
125,mending beli satelite bos ôøω bego piara kambing piara gemuk,1
126,lagak kayak kayak sendi pikir sebodoh beli indosat beloon kena tepu,3
127,meminjam bahasa anies beli indosat dimana unsur pembangunannya bikin investasi rugi sih jokowi siapkan satelit telkom desak indosat titik rendah tar indosat bubar bangkrut jual sahamnya diobral harga murah ajaib koalisinya saham menguntungkan dilepas saham rugi dibeli kebalikannya orang normal cari saham berprospek menguntungkan,1
128,goblok loôøω beli perusahanôøω asing singaparna wkwk wibawa citra indonesia,3
129,tipe orang' pencitraan berpikir nya membodohi membohongi rakyat,2
130,namanya kampret otaknya kebalik berfikinya terbalik,3
131,orang butuh makanan citra dimakan,1
132,bukalah datanya mengerti barang patut dibeli,1
133,beli pakai uang mami nak,1
134, sanggup memimpin indonesia tanggungan ribuan' forget it,1
135,triliun indonesia tinggal ngurangin budget infrastruktur triliun kerasa kali sandi terpilih mudah tepati janji beli indosat pikir triliun triliunan,1
136,jokowi beli indosat beli rongsokan bro ôøω janji lakukan buta merugikan rakyat ôøω lulus sampai dengan,2
137,dasar sampah ri beli satelit biaya ya murah indosat rugi triliunan jual investor qatar,1
138,pikiran tuo wkwk infrastrukur buy back isat gengsi politik orang nyebrang sungai pakai handphone tuo wkwk,1
139,baca ya,1
140,rugi indosat beda not worthed,1
141,cape deh orang bego in rakyat ôøω,2
142,membeli indosat rakyat miskin kenyang mengambil indosat rakyat miskin penghasilan membeli indosat rakyat miskin kayak mendadak membeli indosat nih negara super power pikir pakai otak mengeyel melulu beli beli pembuangan dana berguna,1
143,indosat sehat buy back,1
144,sih buyback perusahaan merugi,1
145,beli sahamnya ah,1
146,ada janji buy back indosat deh ôøω,1
147,perusahaan rugiôøω gue malas pakai indosatôøω,1
148,beli indosat bikin operator bersaing indosat lumayan buka lapangan kerja,1
149,bismillah prabowo sandi presiden rakyat indonesia,1
150,aspek strategis bisnisnya buyback momennya cek performance perusahaannya pindah politik,1
151,kinerja nya merugi dibeli,1
152,kali dibeli badan usaha milik negara telkom indosat main sikut an orang mainnya dibisnis,1
153,investor cerdas menjual membeli saham orang nafsu pencitraan sandiwara mengabaikan untung ruginya buy back indosat,1
154,jujur coba suruh perusahaan investasi saratoga suka akuisisi perusahaan suruh saratoga kaji indosat menguntungkan dibeli mengompori rakyat lugu tau kondisi keuangan indosat,1
155,haha ngitung doang sih duitnya pakai daon ya,1
156,tunggu periode,1
157,ngapaen beli saham rugi sandi ada saham publik nya ya biar goreng haha,1
158,beli perusahaan ambruk dasar dungu,1
159,pakai duit pikir indosat dituker okehngoceh investor qatar asumsi investor qatar mabuk ciu,1
160,pola pikir bodoh bisnisman tolol beli perusahaan merugi jokowi menunda beli profit inves infrastruktur beli freeport untung dinyinyiri otakmu cerdas mengotot beli perusahaan merugi makhluk aneh jahat,3
161,untungnya mengurus indosat mending heran gue,1
162,hem kardus dimana,1
163,indosat tenggelem dibeli,1
164,setuju sandi indonesia memegang kendali telekomunikasi negara,1
165,ada telkom bos,1
166,jual indosat ya,1
167,rugi' ada janji buyback ya super duper aneh yuk berpikircerdas,1
168,oke pakai indosat lihat kondisi terbaru beli,1
169,pemimpin visioner berpikir' cuap' bangun infrastruktur pakai hutang merugi untungnya bayar hutangnya pakai hutang andai pemimpin berpikircerdas,1
170,semoga target sandiaga uno buyback indosat dikabulkan tanah air,1
171,bodoh banget perusahaan rugi dibeli bagus dilepas,3
172,indosat posisi merugi dibeli buang buang duit satelit nusantara,1
173,bro biarkal indosat,1
174,indosat vendor telkomsel to bro kali satelit dukung bisnis utamanya ada hubungan satelit nusantara,1
175,mengotot indosat besarkan telkom mati indosat,1
176,setuju beli barang mahal,1
177,kiraan beli joko,1
178,joko duit' ' saratoga bosowa duit,1
179,pas jokowi mencalonkan presiden lihat data real nya presiden pegang data kaji ulang ambil tindakan secepatnya jokowi ada niatan buyback indosat sandi beliau calon wakil presiden lo pegang data real nya hitung hitungan untung rugi nya,1
180,posisi dibeli merugikan kembangkan satelit palapa dibeli dibully beli perusahaan merugiôøω,1
181,menguntungkan dibeli investasi bidang menguntungkan negara ôøω,1
182,indosat menguntungkan bodoh telkomsel ruginya dimana coba ada untung untung era digital informasi,2
183,indosat rugi mulu buy back,1
184,kinerja indosat brok dibeli lunasi hutangmu asen presiden jokowi meluncurkan satelit bank rakyat indonesia,2
185,nilai indonesia tingkatkan qualitas coverage telkomsel bagus dana bermanfaat kualitas infrastruktur pendidikan kesehatan,1
186,triliun harga minimal bos berkali kali lipat akuisisi ratusan triliun akuisisi pembohongan publik mending kembangkan telkomsel,1
187,beli indosat di bawah telkom mending alokasi infrastruktur calon wakil presiden san,1
188,iya drpda bangun tol ditengah hutan,1
189,komentar tertololôøω,2
190,beli coba kasih contoh beli merugi untung,1
191,indosat perusahaan mengalami kerugian dibeli,1
192,bersatu mengumpulkan dana mengembalikan indosat indonesia üòñ,1
193,mending beli saham tsel singtel,1
194,naiknya fortuner hitam di dalam mobil ada orang orang nyeletuk bayar tol ribu wik mahal ya bukalah handphone curhat colongan deh ondel tol mahal di rezim sesungguhnya ôøω,1
195,nih orang kerjanya nyinyir pemerintah kerjanya dapur ôøω,1
196,terbukti tol menurunkan kecelakaan cepat perjalanan non tol mending bayar mahal tidak apa apa kali cepat ketemu keluarga,1
197,tol nya mahal polisi mengatur strategi oneway perjalanan berangkat pulang mudik peminatnya lantas masyarakat teriak tol nya mahal self reminder ôøω,1
198,ribuan jalan tol membantu pengguna jalan propinsi longgar nyaman gratis,1
199,apes kosong nyaring bunyinya,1
200,akal an apes curhat orang gemblung tea,1
201,curhat nih om,1
202,motor toll dirasa mahal jakarta surabaya habis ribu pulang pergi berdua ribu istirahat spbu barak tentara nasional indonesia polisi gratis,1
203,penerapan tol jalan raya bebas hambatan skema pembiayaan infrastruktur adil prinsipnya pengguna membiayai pembangunannya pakai setuju membiayai pembangunannya pakai jalan tol membiayai pembangunannya,1
204,kondisi lebaran jalan non tol cape' boros mampir indomart menumpang pipis gratis turun ambil es krim mahal apes üòç,1
205, curhat tol mahal nih tol ratusan ribu beli mobil ratusan juta mahalan tol mobil nya ups keceplosan üòã oh ya' tol bayar tol plus bensinnya murah jalan non tol bayar tol adil üòì ü î üòö,1
206,å å tol mahal pilihan tol bayar didiskon tol uang memilih tol pantura mecet becak motor leluasa arus lintas padat ada tol manfaatnya tol kecelakaan menurun jalan rusak berkurang arus padat apes memikirnya kesini kena macet jam kena macet via tol jam konsumsi' nya apes jam makan jam makan' biaya makan perjalanan apes bbelum nginap dihotel sekeluarga lagilah dijabarin,1
207,orang otaknya zonktor otak manusia otak udang harap maklum üòå üòå üòå,1
208,ada toll trans jawa surabaya bawa mobil nginap malam jalan letih nya jalan arteri biaya nginap hotel keluarga orang ribu hotel kelas melati bayar toll ribu an jakarta surabaya nginap jalan pikir biaya toll' murah tambahan biaya jalan bertambah akibat nginap malam,1
209,cari kesalahan orang suka,1
210,keluarga nya malu ya hina rakyat,1
211,hina hina mari' salah menghina orang hina menambah dosa mending doakan bertobat kembsli jalan ôøω,1
212,buntelan bagong bikin ribut,1
213,,1
214,terima kasih jokowi surabaya solo jam berguna toll nya hemat jam jalan,1
215,wakakakakak mahal dodooolll sih murah hitung perkilo meter sekolah bayar pakai daun wan wkwk,3
216,bicara data,1
217,dewan lulusan iya ampun bisanya nyinyir tau apes biaya perkilometer jakarta surabaya rupiah jakarta surabaya kilometer mahal provokasi data biaya tol jakarta surabaya rupiah terang kesannya mahal bayar tol kota jakarta rupiah tol jor rupiah tolg provokasi kritik pemerintah ada salahnya cerdas,1
218,jaman gubernur belanda deandles terlaksana pembangunan tol trans jawa jokowi sejarah dunia mencatatnya mahal murahnya tarif tol relatif tol ada real wacana rencana meja rapat,1
219,zon tolong terima kasih presiden jokowi berkat ada toll mudik bandung lancar pindah toll selatan ôøω,1
220,ya nimbrung ada baiknya wakil mengurangi tunjanganya gaji ambil deh hak wakil rakyat bentuk solidaritas wakil rakyat atasanya baca rakyat wakil rakyat ada baiknya atasanya baca rakyat menilai kinerja situ tentukan appraisal layak cocok wakil rakyat kemarin angka kehadiran anggota dewan wakil rakyat persen ya fungsi legislasi persen terselesaikan lo terinfo kinerja wakil lo benarkan ya posisi wakil pemimpinya ya dibalik,1
221,trusss apes puisi ôøω dasar kepompong apes ôøω,1
222,tarif toll mahal toll jalan ada beradu macet lambat hambatan cepat nyaman bayar ada memaksa tol mbak tiket pesawat mahal pilih kereta bus kapal mobil murah nyaman dimana di dunia cepat nyaman ya bayar subsidi murah disubsidi ya ikutan bermacet ria simple,1
223,murah bilang om suruh ngesot üòç üòç üòç,1
224,alumni demo badan pengawas pemilihan umum mengadakan demo akbar jilid menurunkan tarif tol mahal,1
225,complaint mahal pakai tol repot pekerjaan pendukung,1
226,akui serba mahal bayar listrik mahal pesawat mahal tol mahal buta mata buta hati bro kritik hoaks harga listrik turun tiket pesawat turun tenaga kerja cina turun drastis ekonomi meroket dolar ribu impor panen contoh hoaks lo ya ôøω,2
227,mahal kali ukuran kantong,1
228,mahal relatif bandingkan kondisi negara kenaikan harga bandingkan kenaikan pendapatan faktanya statistik pertumbuhan tingkat pendapatan tingkat inflasi netnya positif dengki membutakan mata hati,1
229,hebat menilai orang kalimatnya ada pengamat ekonomi bilang tarif listrik mahal miskin coba komen cerdas komennya berbobot komen mencerminkan ide membalas komen bilang bodoh ôøω,3
230,harga tiket pesawat turun gaji pilot crew avtur ikuti harga internasional harga tol listrik gaji pegawai upah minimum regional naikkin gaji upah minimum regional pekerja kabur kerja' dibilang nasionalis dolar turun pengusaha expor rugi devisa melorot ngomel susah berargumen tk kritik coba kasih solusi nombokin mbak tolong ada keputusan menyenangkan pembangunan dimana please kritik jago coba kasih saran kali kritik anak sampai dengan,1
231,salah tugas pemerintah mensejahterakan rakyatnya kenaikan gaji pgawai pakai rumus inflasi prtumbuhan ekonomi kenaikan harga pesawat' nya contoh jakarta' murah ribu juta tarif listrik naiknya bertahap bertahapnya pertaun mengikuti kenaikan gaji karyawan bayar listrik' menyebabkan daya beli masyarakt menurun pergerakn ekonomi daya beli rumah tangga significan berpengaruh prtumbuhan ekonomi gan komen wawasan bilang bodoh ôøω,3
232,coba pertemukan mengeluh tarif tol mahal haalllloooo fadli diam,1
233,parah kubu mental nasi bungkus,1
234,jalan kaki biar murah,1
235,gratis zon kau suka gratis gratis korupsi fasiltas üêä üêånegara keluargamu kau jalan toll äºô è,1
236,kau ketahuan korupsi fasilitas negara gratis fasilitas milik negara keluargamu kau bilang komenmu zon åâô è,1
237,orang bilang tol mahal ya bodoh,3
238,toll kali fadli apes awas ya toll,1
239,tarif tol mahal barang jasa disubsidi pemerintah murah jalan non tol tugas dapur menetapkan tarif tol disubsidi anggaran pendapatan dan belanja negara tugas kewajiban fadli zon anggota dapur,1
240,bicara apes bau üòç,1
241,apes species jenis sih,1
242,mahal tol orang silaturahmi truk cepat meningkatkan produktivitas inginnya enak nganggap mahal mengeluh contoh mahal mengeluh penuh,1
243,semoga menit berita berbobot ketimbang memberitakan kayak mohon maaf menit pembacamu uangbsetia berita nilai informasi ketimbang opini nyinyir,1
244,harap maklum dijadikan patokan perbandingan harga nasi bungkus,1
245,seandainya idul adha makhluk wujud zon korban alangkah damainya indonesia idul adha,1
246,mulutmu sampah,1
247,blunder,1
248,besok besok ditanyain apes model ra mutu,1
249,pesawat okelah mahal tol idiot gambaran jakarta solo tol ribu bandingkan bis jakarta slo mndekati lebaran tiket an ribu keluarga anggap orang juta pakai bis make tol kndaraan pribadi jakarta solo bensin ribu tol ribu sisanya tanggal pilih kcuali make mobil' badut idiot,3
250,curhati rakyat kerja becus curhati nyinyir pemerintah memuji kinerjanya pemerintah muka tembok,2
251,ada jalur pantura dipakai pakai tol ya jalur jalan tol bawa agama ribut in request budget tarif dikenakan ada approval dapur,1
252,kuludahi muka sih apes dajjal kampret,3
253,tong gentong nyaring bunyi nya orang kayak daur ulang biar hidup berkah' tolong cek lapangan jiplak hujat orang tolong cek data salah hasil perundang berhasil persen sahkan' menjabat intropeksi,1
254, tau nya sih otak isinya ikan buntel pendapat,1
255,isi otak pemerintah nge gaji juta bulan,1
256,maklum sarjana satra pengagum karl marx lulus matematika hitung salah untung bos nya beloon,3
257,sih ngabalin curhati sih zon coba check youtube kuncinya copy paste google debat seru ngabalin mulutmu sampah,2
258,botol yakult dikasih nyawa dijadikan berita üòç üòç üòç,1
259,versi kawan gue orang padang look like raja of kong üòü,1
260,pekerjaannya orang sih,1
261,mahal kelewatan,1
262,kejayaan indonesia ayo dukung pemerintah lmembangun infrastruktur membangun membangun pembangunan infrastruktur masiv wilayah indonesia syarat mutlak proses pemerataan kesejahtaraan berproses pembangunan efeknya ekonomi dinikmati periode pemerintahan jokowi,1
263,murah pakai tol tolong sumbangkan gaji sumbang nyinyir,1
264,simple jiwa kampretnya akut pakai apapun dibangun pemerintahan jokowi tol lihat beruk jalan tol tembak ndase,1
265,mulut rusak keluarnya omongan benci,3
266,kirim sepatu sekontainer menambah rupiah pasang biaya tol rupiah ribu wkwk dibebankan konsumen rupiah pasang memberatkan mahal wkwk,1
267,kontener pasang tarif gol,1
268,ya kali rupiah mahal ya,1
269,otak dipakai toll mahal ya jalan propinsi gratis bayar pikir otak aneh orang anggota dewan,1
270,repot kubu mental gratis mulu,1
271,jakarta surabaya mobil ber plus bensin orang ribu mahal kedengkiannya,1
272,mengeluh orang tol orang prosentasenya perbandingannya tuman bos aduan mengecek jiplak,1
273,rumangsamu kerja tol duit e mbahmu orang gaweane nyinyir waeôøω,1
274,terima kasih presiden ôøω sekeluaga mudik ponorogo biaya murah lebib rupiah bensin ramai ramai ada orang keluarga banding bus rupiah orang pesawat mahal jam kuranh ôøω terima kasih presiden ôøω semoga sehat sederhana aminnnnôøω,1
275,seandainya beliau ekspor' negara indonesia sejuk damai,1
276,mang bikin tol pakai duit tol murah investasi nya pakai duit pinjaman dibilang utang berbicara ada solusi,1
277,orang uang tol mobil bayar tol pengenya gratis lihat mudik motor panas an,1
278,ada harga ada kualitas bro beli mobil sanggup bayar tol beli mobil garasi mudik lebaran orang bali orang tua ada dilampung malam tempuh semenjak ada tol tempuh malam berterima kasih kinerja kabinet jokowi kerja kerja kerja omong doang omong doang terima kasih' presiden bravo jokowi jokowi mudiklebaran,1
279,mahal jalan,1
280,tol e prabowo murah,1
281,kali memilih anggota dapur ri pendidikannya tukang puisi nyinyir,1
282,beliau ada wakil dapur ri terhormat omongan beliau biar beliau tabiatny kutukn tukang nyinyir,1
283,dirasa mahal ya tol susah apes,1
284,gue mending bayar tol mahal cepat ada tol ada memaksa pakai tol jalan propinsi cepat nyaman ya ada harga ada barang jalan pikiran kayak zaman soeharto,1
285,apes hebat rezim modal nyinyir doang apes bangun infrastruktur' hebat apes dikasih kesempatan buktikan,1
286,na bela rakyat kritisi deh kayak kritisi harga harga' perusahaan listrik negara nan,1
287,bozz zon tor makan gaji buta bulan  pajak hasil banting tulang keringat siang malam pembayar setia' ' pajak hiburan barang mewah pembangunan' berbicara bermutu kembalikan ya duit gaji kemarin kenegara menyesal bayar pajak nih mending disumbangin kaum duafah bermanfaat,1
288,mpe detik gue heran trtm makhluk gerombolannya cowok nyiiiiiiinyirnya ampun dimana maksudnya negeri notabene warganya non muslim oposisi orang pengkritik pemerintah kali mengkritik berkelas bermutu ada satupun nyinyir kali kadang ada mpe ribut kayak tonjok an dewan nyinyir bikin pernyataan bikin sebag warga kesal kayak sih tong kosong bunyi nyaring,1
289,memangnya diwajibkan tol apapun biaya dikeluarkan sebanding nilai kepuasan ôøω anggota dewan bodoh ya gaji makan otak nol,1
290,bermacet ria gratis silahkan jalur pantura azza dijamin' jam surabaya hargai,1
291,lebih baik uang demo jadikan subsidi jalon toll sih apes ada manfaatnya üòä,1
292,otak orang rusak parah setengahnya ditaro dengkul kepalanya ada otak,1
293,pemujanya semahal apapun dibela nih rezim serba mahal ya minimal diam pemujanya alhamdulillah taraf hidup rakyat indonesia meningkat hidup rezim,1
294,ada paksaan bego dipamer pamerkan terbiasa nyadhong karduslah mahal,3
295,tol mahal dibangun pakai duit pakai daon apes,1
296,murah tol makan insfrast,1
297,curhat tol bayarnya mahal atuh he eh memangnya bikin pakai daun pikiiiiiiir,1
298,alhamdulillah jaman rezim mengeluh tiket pesawat mahal sembako mahal it menunnjukan peningkatan taraf hidup masyarakat indonesia,1
299,apes kosong nyaring bunyinya,1
300,bagus mahal murah mobil masuk jalan bebas hambatan murah jalan makan warung warung jalan,1
301,tol nya mahal ya tol ya murah to isone nyalahken doang kritik membangun cuuuy,1
302,orang pola pikirnya aneh kali wawancara i,1
303,tol mahal hemat' hemat uang makan hemat biaya berobat tukang pijat berpikirlah makro bahagia terjebak pola pikir bani kampret,3
304,jakarta surabaya ribu an mahal nya dimana ya dasar otak jongos ribu bilang mahal kampret tulen otak kebalik,1
305,å murah tunggu jagoan memimpin apes dunia mimpi komen mahal orang buang duit pulsa telepon genggam pulang setaon ribut mahal diam di rumah pret,2
306,curhat aneh kayak ada curhatôøω,1
307,curhat gerombolan iya tau mahal melewati ada pilihan gratis üòü üòü üòü,1
308,curhat orang bodok dicurhati cocok jalan bahan marka tol bodok,3
309,curhat gromobolan iya tau mahal lewati ada pilihan gratis üòü üòü,1
310,orang model curhat zonktor model anak alay liman sugriwa üòå üòå üòå,3
311,model ulama monas berharap nasi bungkus,1
312,dasar sih mulut sampah mengeluarkan bau busuk,3
313,kayak ulet gendon tong,3
314,wkwk nek sing nyawang rupane zonktor persis upil coro kecoak üòç üòç üòç,3
315,keberpihakan miskin tidak apa apa kayak bayar toll mahal tidak apa apa mobil uang toll nya bayat gaji sih dungu rela,3
316,manusia ada berguna ada berguna' memungut botol plastik jalan dibuang sampah' betmanfaat mengurangi pencemaran orang bermanfaat sulit,1
317,bayar tol jalur bos pas jajan pinggir jalan ketok harga tarif tol enak,1
318,dikomenin jenis jenis makhluk sengaja kebodohannya viral,3
319,sih apes baca komen detik comôøω mestinya malu mengundurkan sayangnya kemaluan muka tembok mulut nyinyir takdirnya,3
320,motor masuk jalan tol brow,1
321,ada setuju' presiden ri,1
322,haha seru komentarnya berita' memilih saudara nya berpikirnya dipilih orang sukanya cari sensasi memikirkan kemajuan bangsa mengatasnamakan rakyat haha sih mental miskin,3
323,suka dipilih nih,1
324,daus mini ya,1
325,sih dungu mati,3
326,kadang suka aneh harga mobil ratusan juta beli bayar tol ratusan ribu ngomel ngomel,1
